retailer_id,distributor_id
683bf334-f913-4854-8799-33a1665c5732,cd4defcf-1759-4f28-9af8-6a0a446befe0
5aeb77ef-2a53-48e0-847b-3430c339da43,3116d559-0bee-461f-81bb-063b696fcdb7
d1f437f5-2e79-42c8-8606-7c4aa148ed12,c28220cf-b41f-479b-a843-dcf6b2997f0d
34094130-5960-4483-8e6d-792ac5890583,843cd37e-2981-42eb-a7bd-1d0a705dd9bf
1009932c-2e73-4b0a-bb03-9d4c401b573b,04ff6a1c-c1a8-4d21-a0c9-981fdc689d45
73c5ece4-87bd-40df-a9be-82b2daf0140c,83aa99a7-5c94-4412-9537-e3817ecfc27d
83328eb0-54d6-45f7-9932-21fd82b41c78,a2873b58-f9bc-4726-9e3e-c85d28b33c64
b54604b2-6e2e-4374-a13a-a8691777067f,83ca1df8-df7d-4220-80c1-0d8a5d68a4bb
f3be816e-2448-4d55-a769-631c8d39b2e5,19cf9cd0-3e6e-4006-a733-7db998f1d81e
a84259d5-8f29-430f-a1b2-a07affa066e9,9f8b6095-209d-45e9-9e05-a16a5ae2f66d
1fea2664-ba99-43b8-850a-9a9197361e81,76e37d45-12a0-46c5-b10a-4abed6284226
58e0fe9e-59cf-4e06-a07a-0d12f2bcb7b4,bb9b1e6e-70ce-418c-99f5-953d4f86edfb
a2643b1e-ec8f-4831-82ea-58cc154605e8,8508c3ae-f6b2-40db-b895-82551fc235f3
29bf630e-4649-49f2-927b-ad5db3a70834,0c73f73a-8fdb-4548-84ef-ac0e6d21ba4d
95fc89ed-0fa8-4ff2-882e-d4f471dacafc,b45ef03f-d739-4487-9801-31fead4a6042
cc2ca90c-8217-473c-aa03-0d056402a98c,75a340e7-7f56-4eed-9b5e-70a3a123a636
b4d34e95-ff4f-4b2f-8727-db6a3e075435,06abdf30-9839-44a5-aa50-af075e8772f0
e192c538-0368-4045-b956-90e4c9f4705a,327b98df-14a8-4ecd-aa8f-503501b26ad4
0003e11d-bbc3-4d69-98d1-18ac543c2dc2,b6f9d04c-f261-4d40-8118-206669e772cd
4cae1bf2-9173-4e7a-a6fb-2b6731bad97a,26c4141c-b493-4e02-a6ef-e076aeb92df7
dcf0735f-eb47-440d-9b10-578e1009b4e8,e39a267f-3829-4d31-9f02-b1d62618c4a3
16996dc1-c4a1-4a82-8acf-ed830ed09437,74e13e69-245c-4313-b630-1a3c55a3c198
96cd9e4f-3063-4b97-a2bc-f4dd39ffaf23,baf2b437-33e8-4e82-bd29-b76580e7a988
79731b17-5ccf-4070-be59-11f89b4f927a,192edb39-c14b-436e-b460-1f87512f89d5
a2e4a0ca-3a59-4ea4-beb2-9db9552038d6,b7e5e54a-4fe8-4ac4-9381-94f284c519e0
32c4faa1-9a17-43d2-af04-791d7a43b49d,3325dd06-db0c-42c3-973f-d7cc2404402b
9a2b1c51-1c38-4464-8e0a-ac6ead202108,5f021428-df1d-4ec7-9838-b8e9048d35aa
55e2f412-5024-44e3-9065-58cb8e0744c5,46081d7f-33fb-4621-9e7d-f34afe4a8706
524ee736-394c-4411-9f83-df2413b223fa,69dda6b6-788d-46c2-916f-5d10b05b5e4e
3bb3119a-8134-4efc-95db-9802a62dbc3c,821897c4-efd4-469b-9da5-92493e2dc821
b5acb232-c90f-4e20-98b5-9a25ff69805f,409dba36-2d50-48ef-bd51-67f3ccaf8d21
5fc3c9b7-13a0-4c86-a13a-bd7c61c479e4,6fca69ad-0199-41bf-a258-c0aa28fb7483
685f833c-507f-438d-876b-40986352836d,bdc26242-8065-4a5d-9880-1764ce681b94
5c68f4a4-3d6c-44ba-a754-15e247aee38a,af05e9f0-bfd8-4bd7-a364-b0b446f93fd0
d4af757b-a4dc-431e-977d-487af8e1c386,aece24cb-14a8-4298-ab24-498c03ae136d
c67f0365-f00d-4104-a339-6b366522a639,16bd7090-faf4-48a2-b97e-c5c5130c9987
e5708e46-1ce4-4d46-8bf8-6e545b9b0267,192edb39-c14b-436e-b460-1f87512f89d5
aa2bb6ee-7e61-4d7a-95e2-cdc147ba94ed,d7229bc6-e2a6-4905-921f-225938f0d029
19871d7a-1630-479f-b511-a7ee5d938edf,61fee85b-887f-41cb-9c72-127d6b67d3ba
e0f371e4-135e-4762-a07c-3ac22c8def2e,3116c2cf-1a0e-4a48-b822-53902058e08b
81fa83fa-580e-4d56-ba98-0a7278f9f0f2,ceaccbe0-a992-4e6c-b6dd-7285cd95e52b
399daed8-78f8-42b2-88ae-9ec1d0e10c0a,d802f583-532f-4716-bd8e-422dd2bac92d
d6d5d6c5-fe4f-4ef6-8a86-e321e664a83e,432e36c2-8e89-4525-8a3c-2c1209c3e694
43d40974-83c4-4fb2-9c18-e6082954d3e9,6541d3cc-94ac-45cb-a8b0-c00183a9cc07
