id,shop_id,product_id,promotion_id,price,currency,setting_date,avg_rating
abd8b78c-5597-44f5-a06c-bdc061ff4e2a,de8c2408-a4ff-46e0-9849-b0e3e4509f68,32154fe3-37ea-4a57-8082-429bfe1a6669,,1607.85,GNF,2023-09-20 23:28:47.880312,
23b81c8d-893f-4ecf-8cbb-e420f753d486,63b0fc7f-5aa0-47ca-adf4-7daf3f8bff99,5d13d9ed-b454-4069-9dae-907cc86a1bff,a19e2d93-e34d-484d-a938-190d028ac891,3450.85,SRD,2024-06-25 23:28:47.880312,
19d646dc-bbb1-4248-b386-c62c53654788,7d2c77fa-b4a7-406a-8290-bc2ee64ecdd5,2e586881-c38f-429e-acc2-ca9e2c33ac39,,2190.12,BOB,2023-12-29 23:28:47.880312,
d9271f14-c1dc-4ab3-b291-ce3d3038b03d,d8b895c8-3e48-41cb-95ee-71e85309eecb,67e52717-bef4-4d52-ba2c-692bb14cdeaf,,2177.37,IQD,2023-09-27 23:28:47.880312,
0e0943f3-194c-49a1-bb7a-ddeb3d49ae61,87e16ba8-ae35-4961-801a-f0a1afd5f453,db964e51-4a1b-4ac8-ad55-1ad583375338,f9ae020f-8371-47fe-8ef9-eb9ddef2ab8c,623.6,GMD,2024-01-10 23:28:47.880312,
1f778d56-d61c-427c-a8aa-d7d871735470,b8543ae6-192e-4e2e-aa5c-f45bc2821b5f,6b7fffb4-ac5a-4e21-934c-475a2b9ca222,,2997.99,MDL,2024-03-28 23:28:47.880312,
b23e37f0-6cf6-4f72-816d-51ecf81def8d,83b53327-5d78-40c7-8e7c-1a7e79908190,f86fde5e-1f82-4d12-add9-9221073a9fb4,,3603.24,SVC,2023-09-09 23:28:47.880312,
85ce30c8-ab07-4d22-9115-d63dec584e65,35119984-ede8-4f55-8b97-8a84f848c02a,67603f20-eecd-4542-bb7f-9f4240e780be,,1309.54,LSL,2024-04-18 23:28:47.880312,
3501b9c1-5059-4d66-94c5-68b5116f7fbe,79f64546-2231-45d2-a93f-69e652160a05,da5f6c0d-7761-4756-b7f7-1e930698cd87,,269.06,PHP,2023-11-29 23:28:47.880312,
f92084b3-25ea-4998-9760-89b09224f764,896bd83a-d524-4dc0-94ed-07173544beaa,88db2d24-cd9f-4b75-9740-94a78b801bc4,f18a5f20-8b4c-446a-9f12-09bfa8f4732a,3192.12,FJD,2024-03-29 23:28:47.880312,
eba88174-4843-4d4a-9ef7-d552b50b72cb,8a81cc37-2f42-4044-8338-53ab4f4e4e40,82867235-8517-42a6-a1eb-11002123cba4,49ab0302-5bd1-4737-b622-5709919e5eeb,1652.38,TTD,2023-12-15 23:28:47.880312,
4c9e23a0-728b-4e55-b68a-b16f840ea2b4,2d88d9f3-8714-4d2b-ab9a-7724a030fb29,ee032934-17b2-4fc5-8a3c-a0f1aee1a80d,2013043d-8360-48d7-bcab-58e4cb0cdce4,2030.63,GNF,2024-01-02 23:28:47.880312,
e2fe5618-3185-4989-baee-20e460c1b158,265f2792-58b3-4e84-8d56-2b876bbf6ddf,c9f8dfcf-2a18-4efe-b277-e5df71f65453,,3163.83,HUF,2024-08-12 23:28:47.880312,
28d3b43c-36e3-4c9f-a5bd-fe917fe8af8c,1ed7baa5-58e6-47e7-a37a-b6e9311b69d0,2419824d-11bb-4b02-9857-0eccf0ceb3af,271ddb16-602c-43f0-9361-e04d6ea3ec66,1877.66,KPW,2023-11-19 23:28:47.880312,
2e030904-5865-49f3-af95-0685e867376b,b4294af9-d152-4808-8ebb-f0f68a9297ce,eea373b5-f7de-4c9c-91c8-a551d014af38,1c468a72-4830-4e3d-aa8f-76982ba4aaa7,2011.63,BBD,2024-01-18 23:28:47.880312,
7c6ae9d7-8d75-4198-8478-f12ff4271e62,2a30b636-5bd8-4192-899f-373955a1d52b,a3be728e-9f1d-4394-923c-c654a0b132b0,,4903.73,HTG,2024-07-03 23:28:47.881345,
7490dda6-fc89-4ecd-a615-df23bc844687,33950851-8dce-4fac-845b-2c72f25ac4ac,2f76ed0c-0091-4612-bbb0-9003901adcae,,3918.19,VEF,2024-01-20 23:28:47.881345,
40c684f2-aea4-4350-8292-211eeac03c92,da84fafc-a7cd-4093-907e-893ea9ae9470,3c2112de-2710-42b6-83d9-d8e0f7bff70d,,4761.06,XPF,2023-09-19 23:28:47.881345,
aa466e15-73bf-4c86-b36d-bb6481ac15c6,550f1ca0-fcad-47b3-8f3a-0da9a936d262,988356b4-fe5c-454a-acdb-bbe96b0b56cf,,4754.46,MRO,2024-02-22 23:28:47.881345,
03582d6b-cb54-444c-b8c4-78c398225a31,5387a52a-26c4-473a-a204-e2223ad300d4,e522112c-9a4c-4cd9-8a2c-3aa6608862bf,bf9e447b-46c9-4b87-b7cc-b53f46f8bea0,4685.17,RWF,2024-01-25 23:28:47.881345,
8ccdca14-9c02-4067-b5d4-fc9f07c4c01a,b707190e-08d8-4f78-8954-dda85142043d,869157fb-a867-47e7-8fa4-688b6a9c338c,7aadae0e-66c3-429b-8567-0c35e156e656,4511.94,CVE,2024-02-17 23:28:47.881345,
3449c176-9998-4c0f-85f9-a561e86f7f92,1f8f897d-0d59-46b9-9647-4cdcb33e9b0f,ee122b23-0df6-4a31-841d-bf0349538067,,3657.16,CZK,2023-12-06 23:28:47.881345,
c8023141-b6ea-4f15-8f90-5c7bdb941b54,e8bd302d-0697-4ae7-9d33-218a5c4ac3f1,f2c343d6-0dd8-4338-83e1-2523fa29101b,71c25afd-ad9c-497d-a5bd-59fac2d13027,3187.97,SRD,2023-12-10 23:28:47.881345,
d5880867-7676-48cc-87fc-b0320bcd1f9b,83117ef8-d0e8-43e6-bd1d-8e44a731497c,1f9bfb8d-5faa-4824-bae5-0e502bb63966,,2385.11,NZD,2023-09-18 23:28:47.881345,
060f5af6-0fa3-450d-b193-82b099eb9b80,4887247b-64b4-490c-910b-2ea990b0f3fa,a222e3a6-09e1-4b4f-aa46-5668c27632b0,,2644.84,BZD,2024-04-21 23:28:47.881345,
27d7bb75-c11e-442a-9014-2e8b4c3fadfa,bf4fdea3-7573-45f1-808a-bf74701553b7,d62b7e87-5f64-47cb-bbdb-1f0fc49c11e4,,4649.71,GEL,2024-07-01 23:28:47.881345,
698b4039-31e4-49c7-84ca-56ba57423c87,8d3e5aeb-8576-4250-bdb3-d8262461fb28,af0f0b89-0980-49e4-949d-365bc0c0840f,,1502.88,SRD,2024-06-04 23:28:47.881345,
e9f01e89-ac28-4548-8f00-eefbfd0990d1,9273e69b-7575-4033-896c-5162c9316a46,f4ea7a1a-f4f4-45ce-bb3e-20b86150aafa,,3398.39,BMD,2023-10-09 23:28:47.881345,
e6e254f4-07e9-442b-8c23-867c05cdc20a,3ca577d2-4b38-4fc4-ae57-cd892e2f5a9f,35f6368e-9a8f-46af-8c3e-5308aacdbd81,67dc2ca2-d9c9-4d71-a156-0cd17fc07906,4795.29,QAR,2024-04-08 23:28:47.881345,
bda2d52f-8b12-4d4e-b7a8-023351040439,0b98ddad-74ad-4f81-a932-81daca7087db,79ef4370-e465-4d34-8bc9-d16625149493,21e609ec-7137-49a0-95c2-45d9697ca449,562.33,DKK,2024-07-07 23:28:47.881345,
613cce8b-cb14-4c9b-853d-6c4a729e7084,e5adcc40-cbb4-418b-bad2-4f2ece389b87,01dd610c-ca33-4516-beae-510210b3cace,,3883.41,EUR,2024-04-02 23:28:47.881345,
3f410f8f-346d-4bef-a5a2-617546f39286,249b81ca-70da-4111-a927-e6af0a987a98,82082649-3833-481f-bf1f-273c7e06ec91,1f2f218b-1f36-48a0-910d-4c7a0513f094,4570.76,RUB,2024-02-28 23:28:47.881345,
87da6c64-f89a-4a90-b6db-f0e27c30f456,db8dc263-76c5-45b6-b4f1-3f360a3bcf8c,6177f4b2-c118-4575-9552-c47590f1d396,,731.27,PEN,2024-05-04 23:28:47.881345,
1e0a890a-09a6-49d8-876a-ea26b05940b0,53d5d516-9533-4fd9-b4ae-caf6953dc7d9,da5f6c0d-7761-4756-b7f7-1e930698cd87,edb7c6f6-6f07-48a2-86e8-efccd216c76e,3427.61,GIP,2024-01-12 23:28:47.881345,
49a48418-49b8-4ec5-9072-c7c6540eea5c,5d3e7fe4-a383-4af9-b727-d13fc134d88f,73243d5f-b962-4e31-bf04-05242ddd5e72,,509.94,TJS,2024-06-03 23:28:47.881345,
12b77983-4222-4664-a03f-4562d1d27a2a,848e212b-28cf-4554-9d54-274c57e5acc5,61018661-fa11-4d4d-9931-196ef0a5fedc,,3195.1,NGN,2024-04-06 23:28:47.881345,
ac3ebffa-df57-4bc1-b771-91c8244937f3,fb243ed9-a5a0-46d1-9b18-3f58738abd9a,4b491300-8173-47f3-8869-f54afb6d776a,bf84b09e-2ff1-4cec-b58d-bd6bd9777cc0,4213.91,XOF,2024-06-28 23:28:47.881345,
bd9a9742-f07f-4004-9cb9-0d3942a63dd0,66c5b73a-7f28-470e-835c-65fb7d8e2830,bef6d3ee-afce-43fb-b66d-94c09907a99a,,3570.64,SLL,2024-08-17 23:28:47.881345,
e6d67ade-1a34-4554-a642-27419a683a38,59cea5ce-decc-4c27-891e-ac6e2cacb50e,ca824823-9541-4fd0-a276-ca11b6151390,,4213.68,ANG,2024-07-13 23:28:47.881345,
c17e03fd-2b61-430a-921a-7c8b5eaf2ba1,7da77ad1-14cc-414c-918c-927db1674a08,8c5c2692-eeb3-4984-a11b-6b26ccdc0c8b,54adbdd6-0a51-463e-9c6a-375d9704b7e1,2025.09,MNT,2024-06-28 23:28:47.881345,
fc409274-471b-459b-838d-1b716129ad6e,717c8ba8-4f8a-4136-ae91-9015d9c8fb43,90065c2f-691f-45a9-94cd-4459a2a30b71,43ad632c-a007-4533-930a-b19e56e2c9ae,1664.45,JEP,2024-07-07 23:28:47.881345,
249d0f62-4d56-4ec8-be54-ca5cf7c82a51,68b21a7c-637a-49eb-ac75-bc90f32bfdc9,4d137edd-044d-417a-af58-23c07df19995,ecd8029e-7123-402b-9751-d8bd7501b305,3093.99,KHR,2024-01-14 23:28:47.881345,
e834438b-1c9d-4882-9837-afdca1e81969,9247758f-1b2a-45e9-a389-7f485cb9e640,b52b89f0-734e-45bf-9c5f-db0192b507b9,,2077.06,UAH,2024-04-21 23:28:47.881345,
811739cf-01f1-4dd4-b546-85747667072f,3a4958d4-d6c5-44e2-9801-9e5fe9ea92f7,72ab17fd-e2e1-456b-97f0-f0577324e390,3a537dcc-1223-4a2e-8af4-b96f69b66683,1158.74,DKK,2023-09-19 23:28:47.881345,
09bf4600-5541-4e97-9c9c-cf80a8b9c8f6,f9b10951-3e0f-46b0-bf54-4cb51a91a289,76a0f85b-00a2-41c6-b270-03074be013d1,,289.72,JPY,2024-09-03 23:28:47.881345,
fc055260-c00b-4185-8670-84bd6d0dd72f,0b6ee056-7dab-4ee7-9c77-99db10d4f318,1a3ac2ca-43c0-4cba-89a0-323faccc2e54,,2351.42,GIP,2024-08-27 23:28:47.881345,
07491863-4752-4b08-b8c4-65f575f46a7d,901fa3c3-40de-4d8b-84fe-555dcbb971e6,fd21f726-7e92-461a-bb99-83a24b774035,0d25acec-53d5-43ab-ba27-508cd9f590fa,3874.31,LSL,2024-02-09 23:28:47.881345,
0b687656-99dc-4361-b7dd-f4a8b761f007,815819b7-f276-4b4f-959e-558d8ad773b1,7d6b1d82-da30-4ed0-90d3-ff1b921f1cf9,82a7736c-50ea-49bb-9779-74c5ad37ed55,3612.72,JMD,2023-12-18 23:28:47.881345,
08ef1119-5f81-405f-9f0d-f4b6f6a328ff,905e3f4f-0900-48f9-9643-325036d54c11,8b05f888-80ff-42f9-a755-945fd0b76f55,,298.96,IRR,2024-01-10 23:28:47.881345,
ab408d7c-1b9e-4811-be9c-2a0a61dababb,f958f817-babe-4e25-8a39-5d6a5f48b3b6,5d7e676c-14fb-4880-9607-55c4b01a2a86,e602213b-d653-41ce-a9c1-807c190bea4d,383.99,TTD,2024-08-23 23:28:47.881345,
2679b87a-894a-4d00-af2f-1265b30e96d2,251d1a8d-b1b8-419f-8e6c-e4c16e16c187,616fc1ae-1242-4113-8bae-b1f46eb4bdff,24fcc99f-9e2d-43a4-8a2e-e8fe8f1dc0f8,728.6,BAM,2024-03-28 23:28:47.881345,
8afc55bb-fce5-47e6-86a7-ec8faea212fe,bd2cb90d-b9c0-4727-ac5f-95f5871a38c7,2425d5d8-4168-452e-908f-933c7c359b63,bcf5b307-dca8-4998-a07e-e93d9991bf21,2450.9,AFN,2024-07-07 23:28:47.881345,
