id,retailer_id,title,address,phone_number,fio_director
d0847f07-9462-446a-a778-8084b259d61f,a6897579-4fc9-4736-9d64-29e0d2f0dcca,Хозстройторг,"с. Усть-Камчатск, бул. Мелиоративный, д. 7/5 к. 5, 241654",+7 358 404 24 67,Кудряшов Добромысл Ефремович
3a4b6556-e204-4096-a2c5-105707899136,bd51f663-b039-4707-b482-05de25fd2c67,Испанская лавка,"д. Нарьян-Мар, пр. Садовый, д. 2, 275891",+75539838432,Королев Фадей Ануфриевич
7ba82e2c-7038-4ad3-be19-f7bcf6150971,306e99be-793d-46b1-8235-21f3d1040aad,Арцах-Русь,"г. Алдан, бул. Плеханова, д. 75 стр. 900, 105961",+7 (778) 982-7863,Никонова Марина Яковлевна
0b818b0d-50e0-4018-9698-0d00f54a9171,7d07ae77-6e66-4176-a8eb-1a517cee7f0f,ТД Клин-Форт,"с. Шенкурск, пер. Тамбовский, д. 78 стр. 6/7, 312705",8 (157) 169-1845,Васильева София Михайловна
2e52d9ef-6a41-4bf1-ab86-8dfd4d64b210,13f07072-57cf-417a-9c2e-bd0de184317c,Вегтема,"клх Новочеркасск, ул. Ростовская, д. 90 к. 95, 322146",+77023720827,Оксана Леоновна Никифорова
e5922aab-f9f6-4d0c-8646-3bbf7a90a86b,5ae87b15-3c85-43b5-8cde-8c24d648c53d,КОФЕИН24,"п. Когалым, пер. Севастопольский, д. 613 к. 6, 509986",+7 657 047 83 61,Турова Виктория Владимировна
df69d4d2-a570-4aaa-86ef-4a7a5c68bdb6,7b87be43-aa46-4fb3-a5cd-976cb3897f47,Nomnomka.ru,"ст. Хасан, алл. Сенная, д. 103, 851701",8 320 819 8416,Евдокия Евгеньевна Комарова
e47db62e-1672-46b7-a5f6-b763fb9e1a1f,5a11c59a-e762-4b67-bfae-ba4b1891cf07,Страусиная мини-ферма,"г. Славянск-на-Кубани, ул. Кузнецкая, д. 1 стр. 156, 078755",8 (007) 108-53-95,Ларионова Анна Олеговна
7529ab0d-8a2b-42ac-8d6f-68d0f667bcbc,5bc90245-0347-4685-8d37-296a6f50b618,ДоставкаЦветов.рф,"д. Усолье Сибирское, ш. Ленина, д. 2 стр. 111, 345494",+75689445237,Виктор Всеволодович Щербаков
31423f2f-8a73-482c-97bf-7626894c3b8f,61ab7f49-2203-43d7-a992-03b26e9dda46,Turkish-food.ru,"клх Лесной (Сверд.), пр. Байкальский, д. 2, 679190",88857450093,Артемьева Иванна Григорьевна
22f07e74-45c5-45bf-bd27-fb0120322709,76987cfe-ab6f-4109-9dca-c7053d909e5a,The Village Cafe,"п. Белорецк, пер. Мирный, д. 1/6, 253686",+7 962 425 8038,Юлиан Ермилович Беспалов
0f2c620f-4450-415b-8788-ca9f398c20f9,543fd236-b3ca-4ae5-940a-ecbb1e5929f1,Пушкинская осетровая ферма,"клх Октябрьское (Челяб.), алл. Автомобилистов, д. 3 к. 4/7, 891264",+7 756 198 5514,Юлия Геннадьевна Силина
72f581af-63e7-4044-bf45-b8a5f795909e,ead145d7-0c9f-407f-bda4-2f40c3660bff,RUZZA,"к. Усмань, алл. Детская, д. 3 к. 168, 901496",82690857367,Юдин Клавдий Тимурович
d4c01c5b-eac4-40fb-b6a3-fcb7a070ae18,2fa4d33b-904c-4384-a0f1-e0bfc2ad5fe0,Сытый-Добрый,"клх Иркутск, пр. Верхний, д. 7 к. 46, 515551",+7 786 752 7258,Назарова Светлана Матвеевна
c7eb7bb1-1314-4e40-8a0f-2f787e3971f4,4b82a19b-311c-4dd1-9487-1e1c05ebb783,БестВайн24,"г. Иркутск, ш. Флотское, д. 8 стр. 22, 422846",+7 671 139 52 06,Маркова Ангелина Олеговна
6af900a1-6601-4978-960e-bf8e21a2c585,27ab0e2c-36db-4309-a800-d09e2e19b186,Кофейня 1981,"г. Новомичуринск, пер. Набережный, д. 6 стр. 82, 028730",8 (929) 037-30-36,Абрамов Валерий Венедиктович
178831b2-fd5c-4e06-af1e-026dfa7a98b9,d1484309-9c05-4128-94e2-271f23ab6dd2,Armprodukt,"п. Макаров, ул. Победы, д. 767, 380935",+79370947664,Сорокина Лидия Григорьевна
