Total Average Response Time,Requests/s
31.771756790117195,0.000000
43.77372826087614,0.000000
53.72583090278719,40.500000
67.68096751919846,61.333333
80.66203366936882,71.750000
91.47963657718927,77.600000
102.5518945791798,82.500000
115.91050966543195,84.714286
130.52292917127286,86.875000
142.5590621272337,88.444444
151.83788099099183,89.700000
159.87537152372832,100.000000
169.11676623573777,101.900000
183.00106262271717,101.100000
195.82606522858865,101.900000
206.23318963231142,102.300000
215.56326662889714,104.100000
224.32732556030143,104.300000
236.3100066103419,106.100000
244.4026128470634,105.800000
256.6583619730973,109.300000
268.9568818728579,110.900000
276.7226505154687,110.800000
288.0399880980696,111.800000
298.84241214883104,110.700000
305.39500474091267,109.400000
320.5331770671484,107.600000
329.0922036444252,106.700000
341.91567509856475,104.000000
355.4551460247157,105.700000
362.6058277454968,101.200000
375.9860094267223,100.900000
388.0253808950189,102.700000
398.49724830273743,102.100000
408.9619597465729,102.300000
420.8597087857442,105.600000
430.5729386027644,104.300000
441.51091500619054,106.800000
449.9552146506108,108.400000
455.15046369831526,108.600000
467.1474213651949,108.800000
477.0415225433599,109.200000
486.43599836708614,107.800000
500.7489158713302,112.100000
513.2296913867756,111.900000
522.7687067827168,108.000000
531.8323459119537,111.000000
539.5261303478824,114.300000
551.9918476181557,115.600000
560.8011866789373,113.700000
571.3631349217819,115.400000
584.5725923294505,114.300000
593.1095987319837,116.700000
611.1954292678848,114.600000
616.5665460086914,113.900000
